描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
S-53637C上海库卡_奇瑞捷豹路虎E0VA,SRTC-2C13249L,中小型,145.0,握杆（SBA）,4500.0,,DB6-100R1,124.0,水平,125-160,右,,ABB,,中空,铝,210,,245.0,,511.0,1进1出,124.0,120.0,下,,滑轨,,,,,,,,,
M54186C重庆衍数_重庆至信改造,SRTC-2C12016AL,中小型,171.5,握杆（铝）,4500.0,,ITS85,,水平,125,右,,KUKA,,联轴器型,铝,210,,400.0,,435.0,1进1出,124.0,,,,,,,,,,,,,
上海库卡-奇瑞捷豹路虎,SRTC-2C13257L,中小型,43.0,TIP BASE（F 型）,5000.0,,DB6-100R1,,水平,125-160,右,0.0,ABB,,中空,铝,210,无,225.0,无,263.0,1进1出,,100.0,下,否,滑轨,,,,,,,,,
M54186C重庆衍数_重庆至信改造,SRTC-2C12209AL,中小型,134.0,握杆（铝）,4500.0,,ITS85,109.0,水平,125,右,,KUKA,,高压,铝,210,,210.0,,410.0,1进1出,124.0,,,,,,,,,,,,,
上海库卡-奇瑞捷豹路虎,SRTC-2C13258L,中小型,140.0,握杆（铝）,5000.0,,DB6-100R1,,水平,125-160,上,0.0,ABB,,中空,铝,210,无,380.0,无,460.0,1进1出,150.0,,,,,,,,,,,,,
安徽巨一_广汽乘用车,SRTC-2C13359L,中小型,,握杆（SBA）,,,DB6-100R1,,水平,160,前,30.0,KUKA,,中空,SS400,210,,197.5,,500.0,,,,,,,,,,,,,,,
上海库卡-奇瑞捷豹路虎E0VA,SRTC-2C13253L,大型,290.0,握杆（SBA）,5000.0,,DB6-100R1,,水平,125-160,下,0.0,FANUC,1.0,中空,铝,310,有,280.0,无,606.5,1进1出,114.0,,,,,,,,,,,,,
53637上海库卡-奇瑞捷豹路虎,SRTC-2C13263L,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125-160,下,,ABB,,中空,铝,210,,210.0,,435.0,,100.0,,,,,,,,,,,,,
53637上海库卡-奇瑞捷豹路虎,SRTC-2C13262L,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125-160,前,,ABB,,中空,铝,210,,250.0,,500.0,,124.0,,,,,,,,,,,,,
S-53637C上海库卡-奇瑞捷豹路虎,SRTC-2C13244L,大型,290.5,握杆（铝）,5000.0,焊接,DB6-100R1,134.0,水平,125-160,右,,ABB,,中空,铝,310,,600.0,,815.0,1进1出,,,,,,,,,,,,,,
S-53638C上海库卡_奇瑞捷豹路虎E0VA,SRTC-2C13247L,中小型,176.0,握杆（铝）,5000.0,,DB6-100R1,90.0,水平,125-160,上,20.0,FANUC,,中空,铝,210,,230.0,,445.0,1进1出,124.0,,,,,,,,,,,,,
53637上海库卡-奇瑞捷豹路虎,SRTC-2C13261L,中小型,,握杆（铝）,,,DB6-100R1,,水平,125-160,下,,ABB,,中空,铝,210,,310.0,,570.0,,124.0,,,,,,,,,,,,,
S-53637C上海库卡_奇瑞捷豹路虎E0VA,SRTC-2C13245L,中小型,98.0,TIP BASE（G 型）,5000.0,,DB6-100R1,100.0,水平,125-160,上,30.0,ABB,,中空,铝,210,,,,,1进1出,,,,,,,,,,,,,,
S-53637C安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13246L,中小型,98.0,握杆（SBA）,5000.0,,DB6-100R1,102.0,水平,125-160,右,,ABB,15.0,中空,SS400,210,,185.0,,223.0,1进1出,,,,,,,,,,,,,,
博世力士乐_巴西比亚迪,BRZC-0194,中小型,176.0,握杆（铝）,5000.0,型材,BOSCH,,竖直,160,右,,KUKA,,联轴器型,铝,210,有,226.5,无,372.0,1进1出,82.0,,,,,,,,,,,,,
上海鑫燕隆_上汽泰国-AH4EM,SRTC-S2C7530AL,中小型,180.0,握杆（铝）,4400.0,,RT752,137.0,水平,160,上,30.0,FANUC,1.0,联轴器型,SS400,210,无,230.0,无,381.0,1进1出,120.0,,,,,,,,,,,,,
上海鑫燕隆_上汽泰国-AH4EM,SRTC-S2C7530BL,中小型,159.0,握杆（SBA）,4400.0,,RT752,137.0,水平,160,上,30.0,FANUC,1.0,低压,SS400,210,无,175.0,无,354.0,1进1出,116.0,,,,,,,,,,,,,
上海鑫燕隆_上汽泰国-AH4EM,SRTC-S2C6315EL,中小型,170.0,握杆（铝）,4000.0,,RT752,125.0,水平,160,下,,FANUC,1.0,联轴器型,铝,210,无,225.0,无,437.5,1进1出,125.0,,,,,,,,,,,,,
安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13066L,中小型,,握杆（铝）,,,DB6-100R1,,水平,125-160,上,,ABB,,中空,铝,210,,320.0,,320.0,,100.0,,,,,,,,,,,,,
安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13191L,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125-160,右,,ABB,,中空,铝,210,,330.0,,518.0,,74.0,,,,,,,,,,,,,
安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13065AL,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125-160,右,,ABB,,中空,铝,210,,277.0,,518.0,,74.0,,,,,,,,,,,,,
安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13065L,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125-160,上,30.0,ABB,,中空,铝,210,,277.0,,550.0,,74.0,,,,,,,,,,,,,
S-53447C西安腾比亚迪EU导入-库卡,SRTC-5C13327L,中小型,142.5,握杆（铝）,5000.0,,ITS85,95.0,水平,125,下,,KUKA,,联轴器型,铝,210,,125.0,,250.0,1进1出,,,,,,,,,,,,,,
S-53447C西安腾比亚迪EU导入-库卡,SRTC-5C12145AL,中小型,105.0,握杆（铝）,5000.0,,ITS85,102.0,水平,125,上,,KUKA,,联轴器型,铝,210,有,260.0,,365.0,1进1出,104.0,,,,,,,,,,,,,
S-53437C安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13111L,中小型,82.0,握杆（SBA）,5000.0,,DB6-100R1,100.0,水平,125-160,上,,FANUC,,中空,铝,210,有,57.0,,507.0,,,,,,导杆,,,,,,,,,
S-53437C安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13068L,中小型,175.0,握杆（铝）,5000.0,,DB6-100R1,,水平,125-160,上,,FANUC,,中空,铝,210,有,430.0,,665.0,1进1出,150.0,,,,,,,,,,,,,
安徽巨一_奇瑞捷豹路虎E0VA,SRTC-2C13070L,中小型,190.0,握杆（铝）,5000.0,,DB6-100R1,,水平,125-160,上,30.0,ABB,,中空,铝,210,无,530.0,无,460.0,1进1出,124.0,,,,,,,,,,,,,
S-53159C安徽悦众-安徽江淮,SRTC-2C13286L,中小型,,TIP BASE（G 型）,,,DB6-100R1,,水平,160,右,,KUKA,,联轴器型,铝,210,,70.0,,345.0,,,,,,,,,,,,,,,
长城精工徐水-C06项目,SRTC-2C13196L,中小型,170.0,握杆（SBA）,5000.0,,DB6-100R1,,水平,125,下,,FANUC,,联轴器型,铝,210,无,215.0,无,370.0,1进1出,139.0,,,,,,,,,,,,,
长城精工徐水-C06项目,SRTC-2C13195L,中小型,160.0,握杆（铝）,5000.0,型材,DB6-100R1,,水平,125,右,,FANUC,,联轴器型,铝,210,无,350.0,无,500.0,1进1出,124.0,,,,,,,,,,,,,
长城精工徐水-C06项目,SRTC-2C9473CL,中小型,155.0,握杆（铝）,5000.0,型材,DB6-100R1,,水平,125,右,40.0,FANUC,,联轴器型,铝,210,无,350.0,无,411.0,1进1出,124.0,,,,,,,,,,,,,
