描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
廊坊振华-KL项目（优耐思）,SDEC-AC2923AL(600-450),中小型,,握杆?45（铝）,,,DB6,,水平,125,右,,KUKA,,联轴器型,铝,310,无,600.0,无,450.0,2进2出,,,,,,,,,,,,,,
廊坊振华-KL项目（优耐思）,SDEC-AC2854AL(350-400),中小型,,握杆?45（铝）,,型材,DB6,,水平,125,前,60.0,KUKA,,联轴器型,SS400,310,无,350.0,无,400.0,2进2出,124.0,,,,,,,,,,,,,
廊坊振华-KL项目（优耐思）,SDEC-AC2948L(350-450),中小型,170.0,握杆?45（铝）,4500.0,,DB6,,水平,125,前,45.0,KUKA,,联轴器型,SS400,210,无,350.0,无,450.0,2进2出,124.0,,,,,,,,,,,,,
M52040C安徽巨一_常州理想-X12改造,SDZC-C1951BL,中小型,180.0,握杆?45（铝）,4500.0,,DB6,,水平,125,上,45.0,FANUC,,中空,铝,210,无,215.0,无,300.0,1进1出,,,,,,,,,,,,,,
M52040C安徽巨一_常州理想-X12改造,SDZC-C1883BL,中小型,129.0,TIP BASE（F 型）,4500.0,,DB6,,水平,125,右,,FANUC,,中空,铝,210,无,180.0,无,310.0,1进1出,,,,,,,,,,,,,,
郑州振华-IP5PM项目(上海度峰),SDEC-AC2934L(300-400),中小型,130.0,握杆?45（铝）,4500.0,,DB6,,水平,125,上,30.0,FANUC,1.0,联轴器型,铝,210,无,300.0,无,400.0,2进2出,124.0,,,,,,,,,,,,,
M53604C安徽巨一_吉利春晓改造,SDZC-SC2304AL,中小型,30.0,握杆?45（铝）,4500.0,,DB6,,水平,160,后,30.0,ABB,,中空,SS400,210,无,,无,,1进1出,,130.0,下,,滑轨,,,,,,,,,
武汉振华-KL项目(上奥),SDEC-AC2925L(250-400),中小型,190.0,握杆?45（铝）,4500.0,,DB6,110.0,水平,160,上,,FANUC,2.0,联轴器型,铝,210,无,250.0,无,400.0,2进2出,124.0,,,,,,,,,,,,,
武汉振华-KL项目(上奥),SDEC-AC2859L(250-400),中小型,190.0,握杆?45（铝）,4500.0,,DB6,116.0,水平,160,前,,FANUC,2.0,联轴器型,SS400,210,无,250.0,无,400.0,2进2出,124.0,,,,,,,,,,,,,
M52285C上海德梅柯_常州理想改造,SDZC-C0647AL,大型,226.0,握杆?45（铝）,4320.0,,DB6,110.0,水平,160,下,,ABB,,中空,铝,310,无,350.0,无,650.0,1进1出,124.0,,,,,,,,,,,,,
广西柳新_杭州福特,SDZC-C2908,中小型,168.0,握杆?45（铝）,4500.0,,DB6,84.0,水平,125,上,,FANUC,1.0,中空,铝,310,无,260.0,无,380.0,1进1出,124.0,,,,,,,,,,,,,
广西原南_上汽通用五菱,SDZC-3C30175A,中小型,130.0,握杆?45（铝）,4500.0,,DB6,94.0,水平,125,右,,ABB,1.0,中空,铝,210,无,330.0,无,560.0,1进1出,134.0,,,,,,,,,,,,,
肇庆小鹏 焊钳改造,SDZC-3C30015AL,中小型,130.0,握杆?45（铝）,6000.0,,DB6,,水平,160,前,,ABB,,中空,铝,160,无,260.0,无,600.0,1进1出,100.0,,,,,,,,,,,,,
肇庆小鹏 焊钳改造,SDZC-3C30018AL,中小型,130.0,握杆（SBA）,6000.0,型材,其他,,水平,125,上,30.0,ABB,,中空,铝,160,有,350.0,无,495.0,1进1出,184.0,,,,滑轨,,,,,,,,,
M51254C上海德梅柯_重庆长安福特改造,SDZC-C0602AL,中小型,150.0,握杆（SBA）,4000.0,,DB6,,水平,160,右,,ABB,,中空,铝,210,无,206.0,无,491.0,1进1出,150.0,,,,,,,,,,,,,
M51001精工自动化_重庆长安福特,SDZC-SC2792AL,大型,215.0,握杆?45（铝）,4500.0,,DB6,,水平,160,后,,ABB,,中空,铝,410,STAUBLI,340.0,无,560.0,1进1出,174.0,,,,,,,,,,,,,
S-51627C精工自动化_重庆长安福特,SDZC-C2893AL,中小型,165.0,握杆?45（铝）,4500.0,,DB6,,水平,160,上,,KUKA,,中空,铝,210,无,420.0,无,390.0,1进1出,150.0,,,,,,,,,,,,,
M51254上海德梅柯_重庆长安福,SDZC-C2796BL,中小型,129.5,握杆（SBA）,4500.0,,DB6,,水平,125,右,30.0,FANUC,,中空,铝,210,无,175.0,无,421.0,1进1出,74.0,,,,,,,,,,,,,
上海德梅柯_重庆长安福特,SDEC-C2900L,中小型,185.0,握杆?45（铝）,4500.0,型材,DB6,,水平,125,上,,KUKA,,联轴器型,铝,210,无,430.0,无,500.0,1进1出,124.0,,,,,,,,,,,,,
S-50991C精工自动化_重庆长安福特,SDZC-C2892L,中小型,160.0,握杆?45（铝）,4500.0,,DB6,,水平,160,上,0.0,ABB,,中空,铝,210,无,270.0,无,400.0,1进1出,124.0,,,,,,,,,,,,,
51624上海德梅柯_重庆长安福特,SDEC-C2899L,中小型,,握杆?45（铝）,,,DB6,,水平,160,下,,ABB,,联轴器型,铝,210,无,220.0,无,350.0,1进1出,124.0,,,,,,,,,,,,,
51624上海德梅柯_重庆长安福特,SDEC-C2901AL,中小型,185.0,握杆?45（铝）,4500.0,,DB6,,水平,160,右,0.0,ABB,,联轴器型,铝,210,无,450.0,无,525.0,1进1出,124.0,,,,,,,,,,,,,
51624上海德梅柯_重庆长安福特,SDEC-C2901L,中小型,185.0,握杆?45（铝）,4500.0,,DB6,,水平,160,右,0.0,ABB,,中空,铝,210,STAUBLI,450.0,无,525.0,1进1出,124.0,,,,,,,,,,,,,
S-50991C精工自动化_重庆长安福特,SDZC-C2893L,中小型,165.0,握杆?45（铝）,4500.0,,DB6,,水平,160,上,,ABB,,中空,铝,210,无,420.0,无,385.0,1进1出,150.0,,,,,,,,,,,,,
M50920安徽巨一_常州理想改造,SRTC-C8000AL,中小型,73.0,握杆?45（铝）,4320.0,,DB6,,水平,125,后,,FANUC,,中空,SS400,210,无,,无,,1进1出,,,下,否,滑轨,,,,,,,,,
M50920安徽巨一_常州理想改造,SDZC-C0586AL,中小型,125.0,握杆?45（铝）,5000.0,,DB6,,水平,125,上,,FANUC,,中空,铝,210,无,185.0,无,301.0,1进1出,90.0,,,,,,,,,,,,,
广州北斗-埃安二厂AY7焊钳改造,SDZC-C0242CL,中小型,130.0,握杆?45（铝）,4500.0,型材,DB6,,水平,160,右,24.0,KUKA,,中空,SS400,210,无,300.0,无,350.0,1进1出,,,,,,,,,,,,,,
北京安川_冲焊DE09,SDEC-C2896,中小型,145.0,握杆（SBA）,5500.0,,DB6,,水平,125,下,,YASKAWA,,联轴器型,铝,210,无,175.0,无,405.0,1进1出,74.0,,,,,,,,,,,,,
上海振华恒伸祥-SAIC(SH)-SHA-001项目(优耐思),SDEC-AC2880AL(350-530),中小型,185.0,握杆?45（铝）,4000.0,,DB6,,水平,125,右,45.0,FANUC,1.0,联轴器型,SS400,210,无,350.0,无,530.0,2进2出,124.0,,,,,,,,,,,,,
上海振华恒伸祥-SAIC(SH)-SHA-001项目(优耐思),SDEC-AC2880L(350-480),中小型,185.0,握杆?45（铝）,4500.0,,DB6,,水平,125,前,45.0,ABB,1.0,联轴器型,SS400,210,无,350.0,无,480.0,2进2出,124.0,,,,,,,,,,,,,
50796上海振华恒伸祥-ES39P项目(上奥),SDEC-AC2882L(350-450),中小型,,握杆?45（铝）,4500.0,,DB6,91.0,水平,125,下,,FANUC,,联轴器型,铝,210,无,350.0,无,450.0,2进2出,484.0,,,,,,,,,,,,,
上海振华恒伸祥-ES39P项目(上奥),SDEC-AC2886L(250-400),中小型,170.0,握杆?45（铝）,4500.0,,DB6,,水平,125,上,0.0,FANUC,1.0,联轴器型,铝,210,无,250.0,无,400.0,2进3出,124.0,,,,,,,,,,,,,
