描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
S-51855C无锡顺世达_长沙三一,SDZX-3C30452L,小型,205.0,,4500.0,,ITS85,,水平,125,右,,KUKA,,OBARA-中空,铝,160,无,464.0,,280.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30451L,大型,,,,,ITS85,,竖直,125,上,,FANUC,,OBARA-中空,铝,160,无,810.0,,330.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30448AL,小型,208.0,,4500.0,,SMF-100,95.0,水平,160,前,,多摩川,,OBARA-中空,铝,其他,无,470.0,无,225.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30448,小型,208.0,,4500.0,,SMF-100,98.0,水平,160,下,,多摩川,,OBARA-中空,铝,其他,无,470.0,无,155.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳-NA0&NA8轮罩自动线,SDZX-3C30450L,小型,,,,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,440.0,,280.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30446,小型,160.0,,4500.0,,SMF-100,94.0,水平,160,上,,多摩川,,OBARA-中空,铝,其他,无,370.0,无,110.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30443L,大型,190.0,,4000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,554.0,,340.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
重庆AC线下车体自动化提升项目B线车架总成,SDZX-3C30317L,大型,,,,,SMF-100,,竖直,125,下,,其他,,OBARA-中空,铝,160,无,900.0,,540.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
M49752上海正臻_天津联恒改造,SDZX-3C30271BL,小型,220.0,,3500.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,504.0,,210.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-48461上海正臻-天津联恒V540,SDZX-3C30425L,大型,300.0,,5500.0,,ITS85,130.0,竖直,125,右,,FANUC,,OBARA-中空,铝,160,无,850.0,,640.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳-G78-南京银尚,SDZX-3C30430L,大型,,,,,ITS85,,竖直,125,右,,FANUC,,OBARA-中空,铝,160,无,554.0,,265.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-48634C联恒沈阳-G78-南京银尚,SDZX-3C30427L,小型,220.0,,5300.0,,ITS85,98.0,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,504.0,,240.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
M49080联恒沈阳-G78-南京银尚焊枪改造,SDZX-3C30403BL,小型,,,,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,484.0,,180.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30391AL,小型,175.0,,6000.0,,ITS85,,水平,125,下,,FANUC,,OBARA-中空,铝,160,无,400.0,无,210.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30391L,小型,175.0,,6000.0,,ITS85,,水平,125,上,,FANUC,,OBARA-中空,铝,160,无,400.0,无,210.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30381AL,小型,200.0,,4500.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,450.0,无,280.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-46810C天津联恒V540,SDZX-3C30404,小型,195.0,,5600.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,424.0,,180.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-46810C天津联恒V540,SDZX-3C30397L,小型,185.0,,5500.0,,ITS85,,水平,125,下,,FANUC,,OBARA-中空,铝,160,无,424.0,,230.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒-V540,SDZX-3C30406L,大型,,,,,ITS85,,竖直,125,右,,FANUC,,OBARA-中空,铝,160,无,554.0,,330.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒V540,SDZX-3C30398AL,小型,185.0,,5900.0,,ITS85,101.0,水平,125,上,0.0,FANUC,,OBARA-中空,铝,160,无,424.0,无,230.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-45961C天津联恒-V540,SDZX-3C30387L,大型,275.0,,4700.0,,ITS85,118.0,水平,125,下,,FANUC,,OBARA-中空,铝,160,无,784.0,,360.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒-V540,SDZX-3C30384L,大型,320.0,,5500.0,,ITS85,129.0,竖直,125,上,0.0,FANUC,,OBARA-中空,铝,160,无,900.0,无,560.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒-V540,SDZX-3C30386,大型,300.0,,5300.0,,ITS85,130.0,水平,125,下,0.0,FANUC,,OBARA-中空,铝,160,无,850.0,无,600.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30382L,小型,200.0,,4500.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,450.0,无,260.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30381L,小型,200.0,,3000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,450.0,无,280.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30380L,小型,200.0,,4500.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,450.0,无,260.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30383L,小型,220.0,,4500.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,500.0,无,245.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
联恒沈阳,SDZX-3C30372L,小型,200.0,,5000.0,,ITS85,,水平,125,下,,FANUC,,OBARA-中空,铝,160,无,450.0,无,355.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒,SDZX-3C30280AL,大型,140.0,,4500.0,,DB6-90,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,414.0,无,285.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒-奔驰V174,SDZX-3C30269L,小型,,,2500.0,,DB6-90,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,500.0,,220.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
五菱少人化侧围CN110V焊枪,SDZX-3C30262,大型,,,4000.0,,SMF-100,,竖直,125,上,,多摩川,,OBARA-中空,铝,160,无,824.0,,550.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
五菱少人化侧围CN110V焊枪,SDZX-3C30261L,大型,,,3500.0,,SMF-100,,竖直,125,前,,多摩川,,OBARA-中空,铝,160,无,814.0,,800.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
