描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
西安比亚迪-三期QX-库卡,SRTX-5C21091L,中小型,220.0,,4500.0,,ITS85,,水平,125-160,前,25.0,KUKA,1.0,联轴器型,铝,160,无,590.0,无,340.0,1进1出,,,,,,,握杆（铝）,,握杆（铝）,200.0,396.0,110.0,446.0,230.0
靖江新程-武汉新程,SRTX-2C18746AL,中小型,160.0,,4500.0,,ITS85,,竖直,125,右,90.0,FANUC,1.0,联轴器型,铝,160,无,440.0,无,310.0,2进2出,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,80.0,296.0,230.0
重庆意立特-无锡朗贤B216C,SRTX-5C21426L,大型,245.0,,4500.0,,ITS85,,竖直,125,右,90.0,PANASONIC,1.0,联轴器型,铝,160,无,745.0,无,405.0,2进2出,,,,,,,握杆（铝）,,握杆（铝）,400.0,565.0,65.0,675.0,340.0
广州资信（丰桥集成）-GTMC#5前地板能增,SRTX-S2C21145L,大型,285.0,,5880.0,,ITS85,,竖直,125,下,0.0,YASKAWA,,中空,铝,160,无,870.0,无,390.0,3进3出,,,,,,,握杆（铝）,,握杆（铝）,400.0,716.0,200.0,716.0,190.0
重庆博俊_合肥腾海,SRTX-2C21433L,中小型,,,,,ITS85,,水平,160,右,,ABB,,折回,铝,160,,525.0,,325.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,,,,
广州资信（丰桥集成）-GTMC#5前地板能增,SRTX-S2C21287L,大型,230.0,,5884.0,,ITS85,,竖直,125,前,0.0,YASKAWA,,中空,SS400,160,无,880.0,无,365.0,3进3出,,,,,,,握杆（铝）,,握杆（铝）,400.0,546.0,150.0,546.0,215.0
S-54137C巴西比亚迪,BRZX-0220,大型,345.0,,5000.0,,其他,167.0,竖直,160,后,,KUKA,,联轴器型,铝,160,有,1089.0,,720.0,1进1出,,,,,,,握杆（铝）,,握杆（铝）,415.0,900.0,320.0,940.0,400.0
重庆博俊_合肥腾海,SRTX-2C21432L,中小型,200.0,,4500.0,,ITS85,,水平,160,右,0.0,ABB,,折回,铝,110,无,550.0,无,430.0,1进1出,,,,,,,握杆（铝）,,握杆（铝）,200.0,346.0,180.0,346.0,250.0
长城精工徐水-C06项目,SRTX-2C13543B,中小型,163.0,,5500.0,型材,DB6-100R1,,水平,125,上,,FANUC,,中空,铝,160,无,450.0,无,320.0,1进1出,,,,,,,握杆（铝）,,握杆（铝）,200.0,,,,
重庆博俊_合肥腾海,SRTX-2C21483L,中小型,160.0,,4500.0,,ITS85,,水平,160,下,0.0,ABB,,折回,铝,110,无,450.0,无,310.0,1进1出,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,60.0,346.0,250.0
